(Не изменять) Опасность;(Не изменять) Контрольная сумма строки;(Не изменять) Дата изменения;name
a72c090a-0626-e911-a97e-000d3a22ca8c;5H3P8+kcYeYW6JnwQe/w1WdgVbp0SV0XhWnU4fzDPDXukneMwou6Lz2iaub0E4Gi9sE3AvDQTA33TGMdCr7Fhg==;01.02.2019 09:45;Гамма-излучение (закрытые источники)
a92c090a-0626-e911-a97e-000d3a22ca8c;VbFyz5L0dlLAauf16pE7vWqBapQ+ls/k0PzKCwBzOd5jwM2/yoPQdEc/++rmhW0bD1hheSeRzdak4E6MNU4SYQ==;01.02.2019 09:45;Гамма-излучение (открытые источники)
ab2c090a-0626-e911-a97e-000d3a22ca8c;2TCGnVps3LRVfiVCsHG0N92f0w10e00qh3/xiorN/YnPsnUlfUckRVMAmwP2MWQ3s/u8ibGHq0Gejkh2JBzJkg==;01.02.2019 09:45;Гидравлическое масло
ad2c090a-0626-e911-a97e-000d3a22ca8c;P8Yu3IyApSnt0+Vj3sZqPc+ZbO0NoYFF11fwTdt52h/1k+2ueKVI17jR5EI9JsZ16UwcKU0HLgYa5lHOczvbUQ==;01.02.2019 09:45;Гликоли 
af2c090a-0626-e911-a97e-000d3a22ca8c;J3NrUgPxA2X5MVXE1n40/cd6NMbxpHgZFDlrxR81+VR3I2Qo0EpOtohyYO4hhbi4UcMuD/dPkIbGWuvf/4zJ4w==;01.02.2019 09:45;Горячие жидкости
b12c090a-0626-e911-a97e-000d3a22ca8c;Z9fKutgMP7Im/gFX7YJciOBMrqFPsyFqsEHouKVyclaBgBB8x8xkIkgQFjMOHJYoNlZUa5SXi8xty98aS73AKQ==;01.02.2019 09:45;Горячие жидкости с температурой +100+150°C
b32c090a-0626-e911-a97e-000d3a22ca8c;HN8/VvPxPpp4D7qvpSuZDILeC/zuAG0glcO8uM/pRxyTyTyPDRUTLcrkevIOLbrjBjZ2IKN2L4RKtNJNwU/73w==;01.02.2019 09:45;Горячие жидкости с температурой +150+1000°C
b52c090a-0626-e911-a97e-000d3a22ca8c;hlESkg27GjuYIPdqi+eahNL5PrNQgtOR52HOB2IWVgHa8PSmPO6j3u0zdn9NzK0sc7oDU2UN2xNKxtiecK0RXA==;01.02.2019 09:45;Горячие жидкости с температурой более +1000°C
b72c090a-0626-e911-a97e-000d3a22ca8c;aXdmf1preF84LGKSpXOryFtJXa+gUnwSB1gMOpMQFTL55Sgoij/VIyFhglKjyAU7VBg77OWDu6v7/L6daNEZ9A==;01.02.2019 09:45;Давление со стороны коллег
b92c090a-0626-e911-a97e-000d3a22ca8c;hZlD+b5JDB5bgc7XzwyBzamwhnBuE981sS+ZZxbofVqS4RtNVqAQPGzKhG/ZpaRsoQjYs4VP7E3vFYO4EaWDNQ==;01.02.2019 09:45;Дератизационные препараты
